side,id,chave,latency_ms,visitados,arestas_sub,n_laranjas,n_saque,laranjas_reais,laranjas_acertadas,saque_reais,saque_acertadas
rust,432,66350b2d-d1f9,23.246699999999997,17467,17876,12,2,12,12,2,2
rust,448,carla3055@gmail.com,41.57,29735,35752,42,2,15,15,2,2
rust,450,0343ce6e-fda7,27.9418,21236,21977,16,2,17,16,2,2
rust,456,51966230965,22.681,4394,4825,14,2,14,14,2,2
rust,463,81934290122,23.8116,16483,17010,13,2,13,13,2,2
rust,473,11932815914,224.1019,20801,21571,17,2,17,17,2,2
rust,502,81934290122,40.686800000000005,16483,17010,13,2,13,13,2,2
rust,510,21934652565,13.6151,1057,1118,18,2,18,18,2,2
rust,516,21934652565,42.5291,1057,1118,18,2,18,18,2,2
rust,520,lucas594@gmail.com,160.2116,13522,14792,14,2,15,14,2,2
rust,529,febb3e6e-2b18,28.0139,16985,17509,18,2,18,18,2,2
rust,544,febb3e6e-2b18,27.402800000000003,16985,17509,18,2,18,18,2,2
rust,552,pedro7755@gmail.com,85.8512,23458,24581,16,2,16,16,2,2
rust,575,31986549653,33.207100000000004,27348,28938,12,2,12,12,2,2
rust,614,carla4420@gmail.com,23.432499999999997,4074,4197,14,1,14,14,2,1
rust,619,2fc99d01-e8bd,34.7746,17224,19770,25,2,18,18,2,2
rust,641,0323fbc5-d070,35.7407,23827,25078,16,2,18,16,2,2
rust,664,júlia6526@gmail.com,39.0095,22859,24050,18,2,18,18,2,2
rust,668,lucas4821@gmail.com,23.0341,8498,8714,12,2,12,12,2,2
rust,690,5f6de937-5a84,20.471,2868,3112,16,2,15,15,2,2
rust,705,carla3055@gmail.com,53.8008,29735,35752,42,2,15,15,2,2
rust,710,júlia6526@gmail.com,39.9853,22859,24050,18,2,18,18,2,2
rust,719,2fc99d01-e8bd,27.7546,17224,19770,25,2,18,18,2,2
rust,726,71935304634,36.727999999999994,23871,25053,18,2,18,18,2,2
rust,745,276902bb-8cd8,28.083099999999998,6114,6400,13,2,12,12,2,2
rust,763,923bff68-9488,6.4857,252,265,12,2,12,12,2,2
rust,767,marcos5780@gmail.com,28.4894,10304,10484,18,1,17,17,2,1
rust,772,71907494630,16.6659,1655,1772,14,2,14,14,2,2
rust,777,b44ac05f-11ff,30.3581,17447,19316,14,2,13,13,2,2
rust,801,9f9bd712-3553,36.1464,15616,17351,13,2,13,13,2,2
rust,824,cb9e893c-19a5,23.7899,5233,5626,15,2,15,15,2,2
rust,846,31966438321,24.32,9120,9550,14,2,14,14,2,2
rust,848,4c76a0a0-9291,42.449,22048,25833,23,2,13,13,2,2
rust,856,fernanda175@gmail.com,23.5112,1476,1564,13,2,13,13,2,2
rust,871,pedro7578@gmail.com,33.601800000000004,12603,12841,16,2,15,15,2,2
rust,874,bruno7282@gmail.com,31.4508,14670,15095,18,2,18,18,2,2
rust,896,66350b2d-d1f9,23.912200000000002,17467,17876,12,2,12,12,2,2
rust,906,lucas7210@gmail.com,31.450400000000002,12538,12716,17,2,17,17,2,2
rust,911,f7c2f09b-9b3f,29.8673,16679,17157,14,2,14,14,2,2
rust,913,4c76a0a0-9291,36.820100000000004,22048,25833,23,2,13,13,2,2
rust,915,81964358979,27.095299999999998,9484,9790,17,2,17,17,2,2
rust,919,71935304634,46.224000000000004,23871,25053,18,2,18,18,2,2
rust,957,51942117050,24.0421,10782,10908,14,2,14,14,2,2
rust,964,51911290957,44.545700000000004,23246,24201,12,2,12,12,2,2
rust,967,f7c2f09b-9b3f,30.2621,16679,17157,14,2,14,14,2,2
rust,969,51911290957,47.752,23246,24201,12,2,12,12,2,2
rust,971,11932815914,30.7906,20801,21571,17,2,17,17,2,2
python,12,b44ac05f-11ff,3405.1192000042647,17447,19316,14,2,13,13,2,2
python,26,5f6de937-5a84,981.9650999997976,2868,3112,16,2,15,15,2,2
python,34,0343ce6e-fda7,1908.55309998733,21236,21977,16,2,17,16,2,2
python,47,31970395620,1076.777700000093,30380,35082,28,2,16,15,2,2
python,93,71940001300,101.90210001019295,2146,2267,17,2,17,17,2,2
python,96,31986549653,713.0447000090498,27348,28938,12,2,12,12,2,2
python,103,pedro7578@gmail.com,253.6974000104237,12603,12841,16,2,15,15,2,2
python,125,81964358979,292.1824000077322,9484,9790,17,2,17,17,2,2
python,129,276902bb-8cd8,163.82689999591094,6114,6400,13,2,12,12,2,2
python,167,71951773308,464.9165000009816,13425,13947,18,2,18,17,2,2
python,168,a9d5b4d1-dfe3,370.7602000067709,14223,14490,13,2,15,13,2,2
python,170,pedro7755@gmail.com,734.3286999966949,23458,24581,16,2,16,16,2,2
python,171,11906438709,529.3480999971507,25294,26837,18,2,17,16,2,2
python,181,51966230965,120.70980000135025,4394,4825,14,2,14,14,2,2
python,224,71907494630,96.87189999385735,1655,1772,14,2,14,14,2,2
python,227,71940001300,92.38879999611528,2146,2267,17,2,17,17,2,2
python,236,0323fbc5-d070,1654.6760999917751,23827,25078,16,2,18,16,2,2
python,253,31970395620,1025.189399995725,30380,35082,28,2,16,15,2,2
python,301,bruno7282@gmail.com,261.31629999144934,14670,15095,18,2,18,18,2,2
python,320,marcos5780@gmail.com,255.08540000009816,10304,10484,18,1,17,17,2,1
python,334,lucas594@gmail.com,321.12389999383595,13522,14792,14,2,15,14,2,2
python,352,lucas7210@gmail.com,212.63389999512583,12538,12716,17,2,17,17,2,2
python,361,923bff68-9488,12.713099989923649,252,265,12,2,12,12,2,2
python,364,a9d5b4d1-dfe3,258.97499998973217,14223,14490,13,2,15,13,2,2
python,383,71951773308,268.2109000015771,13425,13947,18,2,18,17,2,2
python,389,51942117050,191.1816999927396,10782,10908,14,2,14,14,2,2
python,400,31966438321,184.57919999491423,9120,9550,14,2,14,14,2,2
python,432,66350b2d-d1f9,309.5007999945665,17467,17876,12,2,12,12,2,2
python,448,carla3055@gmail.com,890.6513000110863,29735,35752,42,2,15,15,2,2
python,450,0343ce6e-fda7,509.1819000081159,21236,21977,16,2,17,16,2,2
python,456,51966230965,129.61999999242835,4394,4825,14,2,14,14,2,2
python,463,81934290122,273.5312000004342,16483,17010,13,2,13,13,2,2
python,473,11932815914,456.80369999899995,20801,21571,17,2,17,17,2,2
python,496,fernanda175@gmail.com,89.49050000228453,1476,1564,13,2,13,13,2,2
python,502,81934290122,1095.4952000029152,16483,17010,13,2,13,13,2,2
python,510,21934652565,67.57110000762623,1057,1118,18,2,18,18,2,2
python,516,21934652565,74.68960000551306,1057,1118,18,2,18,18,2,2
python,520,lucas594@gmail.com,294.1706000128761,13522,14792,14,2,15,14,2,2
python,529,febb3e6e-2b18,353.6064000072656,16985,17509,18,2,18,18,2,2
python,544,febb3e6e-2b18,354.3176999955904,16985,17509,18,2,18,18,2,2
python,552,pedro7755@gmail.com,426.44860000291374,23458,24581,16,2,16,16,2,2
python,575,31986549653,552.6840999955311,27348,28938,12,2,12,12,2,2
python,614,carla4420@gmail.com,102.25580001133494,4074,4197,14,1,14,14,2,1
python,619,2fc99d01-e8bd,400.3030000021681,17224,19770,25,2,18,18,2,2
python,641,0323fbc5-d070,439.5498999947449,23827,25078,16,2,18,16,2,2
python,664,júlia6526@gmail.com,399.94399998977315,22859,24050,18,2,18,18,2,2
python,668,lucas4821@gmail.com,154.10790000169072,8498,8714,12,2,12,12,2,2
python,690,5f6de937-5a84,141.64790000359062,2868,3112,16,2,15,15,2,2
python,705,carla3055@gmail.com,767.399899996235,29735,35752,42,2,15,15,2,2
python,710,júlia6526@gmail.com,397.0767999999225,22859,24050,18,2,18,18,2,2
python,719,2fc99d01-e8bd,1211.4476999995532,17224,19770,25,2,18,18,2,2
python,726,71935304634,483.3683000033489,23871,25053,18,2,18,18,2,2
python,745,276902bb-8cd8,153.2930999965174,6114,6400,13,2,12,12,2,2
python,763,923bff68-9488,15.561500011244789,252,265,12,2,12,12,2,2
python,767,marcos5780@gmail.com,214.1305000113789,10304,10484,18,1,17,17,2,1
python,772,71907494630,91.10309999960008,1655,1772,14,2,14,14,2,2
python,777,b44ac05f-11ff,336.13189999596216,17447,19316,14,2,13,13,2,2
python,801,9f9bd712-3553,343.465500001912,15616,17351,13,2,13,13,2,2
python,824,cb9e893c-19a5,167.72040000068955,5233,5626,15,2,15,15,2,2
python,846,31966438321,173.10070000530686,9120,9550,14,2,14,14,2,2
python,848,4c76a0a0-9291,570.9423000080278,22048,25833,23,2,13,13,2,2
python,856,fernanda175@gmail.com,89.60510000179056,1476,1564,13,2,13,13,2,2
python,871,pedro7578@gmail.com,238.4220999956597,12603,12841,16,2,15,15,2,2
python,874,bruno7282@gmail.com,240.46340001223143,14670,15095,18,2,18,18,2,2
python,896,66350b2d-d1f9,291.85389999474864,17467,17876,12,2,12,12,2,2
python,906,lucas7210@gmail.com,215.69019999878947,12538,12716,17,2,17,17,2,2
python,911,f7c2f09b-9b3f,291.0383999987971,16679,17157,14,2,14,14,2,2
python,913,4c76a0a0-9291,565.8009000035236,22048,25833,23,2,13,13,2,2
python,915,81964358979,233.2897000014782,9484,9790,17,2,17,17,2,2
python,919,71935304634,424.89360000763554,23871,25053,18,2,18,18,2,2
python,957,51942117050,977.362899997388,10782,10908,14,2,14,14,2,2
python,964,51911290957,475.99170000466984,23246,24201,12,2,12,12,2,2
python,967,f7c2f09b-9b3f,290.23589999997057,16679,17157,14,2,14,14,2,2
python,969,51911290957,447.5949000043329,23246,24201,12,2,12,12,2,2
python,971,11932815914,433.25679999543354,20801,21571,17,2,17,17,2,2
